year;month;day;tts_sentence;tts_interval_min;theme_box_id;light_pattern_id;light_colors_id
2034;5;29;Nog steeds Pinksteren,  - wat is dat ook weer??;195;4;4;8
2034;6;1;Eerste van de maand juni;157;23;4;7
2034;6;24;SintJan;61;24;27;5
2034;7;1;Eerste van de maand juli;171;23;4;7
2034;8;1;Eerste van de maand augustus;231;23;4;7
2034;9;1;Eerste van de maand september;282;23;4;7
2034;10;1;Eerste van de maand oktober;277;23;4;7
2034;10;8;Hartelijk gefeliciteerd,  Jan;105;15;3;14
2034;11;1;Eerste van de maand november;221;23;4;7
2034;12;1;Eerste van de maand december;165;23;4;7
2034;12;5;Sinterklaas;113;12;6;28
2034;12;11;Suikerfeest;222;10;7;1
2034;12;13;Hartelijk gefeliciteerd,  lieve Marit;114;15;3;14
2034;12;25;Vrolijk Kerstfeest;95;8;26;30
2034;12;26;Tweede Kerstdag;108;8;5;20
2034;12;28;Onnozele Kinderen;77;10;26;35
2035;1;1;Gelukkig Nieuwjaar;77;24;2;40
2035;2;1;Eerste van de maand februari;249;23;4;7
2035;2;4;Carnaval, Alaaf!!;94;24;3;7
2035;2;5;RosenMoontach, Agge mar leut heht;115;24;3;7
2035;2;7;Aswoensdag ,  - het is  uit met de carnavalspret;177;21;5;21
2035;2;14;Valentijns en verlovingsdag;70;24;6;42
2035;3;1;Eerste van de maand maart;287;23;4;7
